,timestamp,question,x,y,id,group_size,gaze_c
10064,33491,1,1187,521,1130202,3,0
10074,33522,1,1184,529,1130202,3,0
10084,33553,1,1201,536,1130202,3,0
10094,33584,1,1202,538,1130202,3,0
10104,33614,1,1201,533,1130202,3,0
10114,33645,1,1205,522,1130202,3,0
10124,33676,1,1227,541,1130202,3,0
10134,33707,1,1239,549,1130202,3,0
10144,33748,1,1228,547,1130202,3,0
10154,33779,1,1229,535,1130202,3,0
10164,33820,1,1221,530,1130202,3,0
10174,33850,1,1265,548,1130202,3,0
10184,33881,1,1274,538,1130202,3,0
10194,33912,1,1269,544,1130202,3,0
10204,33943,1,1278,549,1130202,3,0
10214,33974,1,1269,547,1130202,3,0
10224,34015,1,1341,543,1130202,3,0
10234,34046,1,1334,550,1130202,3,0
10244,34078,1,1346,538,1130202,3,0
18963,63124,2,254,114,1130202,3,1
18973,63154,2,0,0,1130202,3,1
18983,63195,2,855,494,1130202,3,1
18993,63225,2,0,0,1130202,3,1
19003,63256,2,0,0,1130202,3,1
19013,63286,2,0,0,1130202,3,1
19023,63317,2,0,0,1130202,3,1
19034,63357,2,1073,306,1130202,3,1
19044,63398,2,1007,429,1130202,3,1
19054,63428,2,996,418,1130202,3,1
19064,63459,2,984,408,1130202,3,1
19074,63491,2,999,413,1130202,3,1
19084,63521,2,1103,173,1130202,3,1
19094,63551,2,991,397,1130202,3,1
19104,63592,2,748,421,1130202,3,1
19114,63623,2,682,89,1130202,3,1
19124,63654,2,779,424,1130202,3,1
19134,63695,2,0,0,1130202,3,1
19144,63726,2,513,488,1130202,3,1
19154,63756,2,487,462,1130202,3,1
19164,63786,2,518,482,1130202,3,1
19174,63817,2,518,471,1130202,3,1
19184,63847,2,543,455,1130202,3,1
19194,63888,2,513,441,1130202,3,1
19204,63928,2,304,473,1130202,3,1
19214,63958,2,0,0,1130202,3,1
19224,63989,2,0,0,1130202,3,1
19234,64019,2,0,0,1130202,3,1
19244,64069,2,0,0,1130202,3,1
19254,64101,2,0,0,1130202,3,1
9931,33046,1,931,474,1130203,3,0
9943,33066,1,925,441,1130203,3,0
9954,33097,1,928,476,1130203,3,0
9964,33138,1,926,475,1130203,3,0
9974,33168,1,932,478,1130203,3,0
9984,33198,1,925,442,1130203,3,0
9994,33249,1,957,472,1130203,3,0
10004,33280,1,950,469,1130203,3,0
10014,33300,1,921,471,1130203,3,0
10025,33330,1,927,456,1130203,3,0
10035,33371,1,959,465,1130203,3,0
10045,33401,1,806,466,1130203,3,0
10055,33432,1,398,516,1130203,3,0
10065,33463,1,379,515,1130203,3,0
10075,33502,1,399,508,1130203,3,0
10085,33533,1,390,505,1130203,3,0
10095,33564,1,406,508,1130203,3,0
10105,33605,1,400,502,1130203,3,0
10115,33636,1,401,507,1130203,3,0
10125,33666,1,344,495,1130203,3,0
10135,33707,1,351,481,1130203,3,0
10145,33737,1,342,485,1130203,3,0
10155,33768,1,335,496,1130203,3,0
10165,33798,1,334,487,1130203,3,0
10175,33839,1,331,493,1130203,3,0
10185,33869,1,340,486,1130203,3,0
10195,33910,1,334,504,1130203,3,0
10205,33941,1,329,574,1130203,3,0
10215,33971,1,347,580,1130203,3,0
10225,34002,1,331,593,1130203,3,0
18952,63082,2,944,54,1130203,3,1
18964,63112,2,941,46,1130203,3,1
18974,63142,2,944,61,1130203,3,1
18984,63174,2,941,60,1130203,3,1
